company_name,whatsapp,emails,phones,url,source
"Door Handles Suppliers Nigeria, Doors Window Handles Companies in Nigeria, Top Dealers of Door Handl",,support@gulfyp.com,+91 7977 00 5636 ,https://nigeriayponline.com/home-supplies/door-handles.htm,Tavily
Instagram,,,+234 814 126 5344,https://www.instagram.com/p/DXHap5pCOY6/,Tavily
Instagram,,,"+2348023003124, 2348023003124",https://www.instagram.com/p/DOYJJ5qgoLM/,Tavily
Door Locks: An Overview. - Superdoor Nigeria Ltd.,,sales@mul-t-lock.com.ng,"+2348023683643 , +2348090525281, 2349098881230, 2349033439318, +2348090525281
 , +2349033439318

 , +2349098881230
 , 2348090525281, 2348023683643",https://superdoor.ng/2022/02/11/door-locks-an-overview/,Tavily
Door Supplier in Nigeria - Buy HDF and Steel Doors | Goltava International Ltd,,sales@goltava.com,08148576051,https://goltava.com/product/door-supplier-in-nigeria-buy-hdf-and-steel-doors/,Tavily
Nigeria’s No. 1 Manufacturer of Steel Internal and External Doors – Superdoor - Superdoor Nigeria Lt,,sales@mul-t-lock.com.ng,"+2348090525281, 2349098881230, 2349033439318, +2348090525281
 , +2349033439318

 , +2349098881230
 , 2348090525281",https://superdoor.ng/,Tavily
Smart Locks - Dualway,,,"+234 904 675 5252

0 ",https://dualway-ng.com/category/smart-lock/,Tavily
"Goscanshop Hardware Store Abuja  - Phone Number, Branch Code & Address",,,"+234 703 222 0015, +234 806 408 4565 , +234 816 174 3140 , +234 703 222 0015  , +234 805 472 8569 , +234 908 665 5556 ",https://branches.com.ng/branch-detail/Hardware-and-Sanitary-Shops-Goscanshop-Hardware-Store-Abuja-,Tavily
Instagram,,thehardwarestoreng@gmail.com,"+2348099245000 , 2348099245000",https://www.instagram.com/thehardwarestoreng/,Tavily
"Hardware and Sanitary Shops all branches in  Abuja - Find Phone Number, Branch Code and Address",,,"+234 703 448 6862 , +234 803 315 3475 , +234 803 393 3693 , +234 810 235 6895 , +234 706 685 8529 , +234 909 024 5243 , +234 803 267 8628 , +234 903 366 7757 , +234 906 521 5470 , +234 706 564 1561 , +234 803 787 9490 , +234 810 236 8523 , +234 816 060 9552 , +234 805 600 9407 ",https://branches.com.ng/branches/hardware-and-sanitary-shops&page=5&id=hardware-and-sanitary-shops&location=Abuja&action=branches,Tavily
"Top 4 Hardware Stores in Abuja, Nigeria - Apr 2026",,,"08028849993, 08051030474, 08033116467, +234 805 305 9903

2014 , +234 803 546 0269",https://www.businesslist.com.ng/category/hardware-stores/city:abuja,Tavily
HOME | Atoz Tools Nigeria,,info@atoztool.net,"+234 904 816 1616

, +234 904 816 1616 ",https://www.atoztool.net/,Tavily
building materials (general) importers & merchants,,"vitalagos@yahoo.com, conengineering2003@yahoo.com, info@costainwa.com",,https://imib.org.tr/wp-content/uploads/Nijerya.pdf,Tavily
Building Materials Manufacturers and sellers in Nigeria,,support@businessguide.com.ng,"07084423949, +2348089796071, 2348089796071, +2348151949440  
 , 2348151949440, 08039183392, 08121829500, 2348098385051, +2348098385051  
 , 08033604132, 08185934440, 08034477581, 08064647399",https://www.businessguide.com.ng/building-materials-companies-in-nigeria19.php,Tavily
WBS | Wholesale Building Materials Supplier in Nigeria,,sales@wbs.ng,"+234-902-992-1970
 ",https://wbs.ng/,Tavily
